GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProjectSprint6,example,Animal,24,3,4,0,6,1,4,1,2,1
ProjectSprint6,example,Cat,6,6,0,0,2,3,2,1,2,1
ProjectSprint6,example,Feline,12,3,0,0,4,1,4,1,4,1
ProjectSprint6,example,Lion,16,22,1,3,4,7,4,2,3,1
